AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-1175,2480,1194,848,-1333,-1261,55,-70,-331
-297,2877,559,-784,-190,223,33,-131,-305
34,2441,1083,-2229,39,901,15,-122,-326
495,1359,2590,-2771,-82,882,-6,-24,-370
-77,-464,3554,-3260,803,666,-14,137,-385
-148,-1064,3575,-1537,-101,455,38,289,-323
-601,-1316,4265,-1876,163,-129,92,340,-239
-267,-2544,4910,-1080,-289,-380,189,301,-156
469,-2520,4865,-491,78,163,345,271,-170
-166,-2410,4128,-202,-8,147,453,289,-195
502,-2248,4030,59,-63,9,537,297,-207
118,-2407,3801,377,60,6,551,286,-210
-33,-2330,3591,904,115,199,506,273,-210
,,,,,,,,
-197,-1653,4084,2127,-168,-1087,423,246,-211
179,1246,3874,-14,0,-24,44,80,-320
634,1642,4283,1007,495,-885,39,99,-327
-549,2003,4359,524,701,-575,46,103,-325
-387,1459,4577,949,63,-362,69,93,-326
-1322,1267,3320,1579,283,-461,95,54,-329
-940,1825,2266,1555,-115,-514,118,-21,-320
-547,2530,485,129,-890,-6,132,-75,-302
569,2462,944,-1637,-242,144,117,-108,-294
77,1261,1809,-2108,-369,-28,89,-72,-327
71,32,3467,-2236,-96,-319,75,49,-353
243,-1183,5115,-2250,-592,-377,82,182,-323
-187,-1848,5383,-1635,314,-50,120,271,-197
-512,-2058,5213,-1036,192,127,204,198,-51
200,-2768,7934,-571,477,-71,317,42,-59
-183,-2255,4885,75,9,40,411,-35,-145
-142,-2244,4315,761,-21,184,438,-54,-168
-669,-2783,4080,1498,1,508,376,-17,-114
106,-1202,3337,2857,-356,562,270,48,-88
33,935,2703,2968,-661,-11,170,49,-137
,,,,,,,,
1253,2670,2481,1042,-1131,-514,112,-13,-176
256,1330,3350,128,-268,-35,37,-23,-239
1215,2857,3373,-616,47,105,18,2,-263
2007,3044,4887,-509,-156,-301,15,2,-268
1664,2836,4795,324,909,-593,12,18,-281
-399,1273,4627,830,184,-897,54,28,-291
-1140,1363,3208,1194,63,-1075,95,19,-293
-1406,1736,2222,1282,-46,-667,128,-16,-301
-1340,2311,1748,885,-553,-707,157,-70,-285
-645,2856,684,159,-253,200,158,-101,-269
-326,2813,736,-1440,-180,91,146,-126,-262
-642,1530,2249,-1761,-503,94,135,-84,-292
71,928,3031,-1961,159,190,122,0,-324
-100,69,4349,-2206,121,-46,114,127,-314
-645,-725,4956,-2102,139,-297,132,244,-246
-156,-1513,5584,-1173,-499,-226,176,317,-85
-484,-1188,4096,-1001,104,-110,251,180,149
